Total records with legal-entity prefixes: 1,360

================================================================================
       #  Len  Name
================================================================================
  [   134] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   135] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   136] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   137] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   138] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   139] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   140] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   141] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   142] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   143] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   144] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   145] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   146] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   147] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   148] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   149] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   150] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   151] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   152] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   153] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   154] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   155] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   156] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   157] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   158] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   159] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   160] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   161] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   162] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   163] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   164] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   165] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   166] ( 82) ROMAN CATHOLIC EPISCOPAL CORPORATION FOR THE DIOCESE OF SAINT CATHARINES IN CANADA
  [   167] ( 78) CORPORATION OF THE PRESIDENT OF THE CHURCH OF JESUS CHRST OF LATTER-DAY SAINTS
  [   168] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   169] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   170] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   171] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   172] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   173] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   174] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   175] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   176] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   177] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   178] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   179] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   180] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   181] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   182] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF KINGSTON, IN CANADA
  [   183] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   184] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   185] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   186] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   187] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
  [   188] ( 78) THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF THE DIOCESE OF HAMILTON IN ONTARIO
